Gene,anopheles darlingi,anopheles gambiae,culex quinquefasciatus,lucilla cuprina,musca,anopheles darlingi,,,,anopheles gambiae,,,,culex quinquefasciatus,,,,lucilla cuprina,,,,musca,,,,simulans,,,,yakuba,,,,pseudo,,,,ananassae,,,,grimshawi,,,,willistoni,,,,virilis,,,,mojavensis,,,,sechellia,,,,Meip 26,,,,all but E and F,only E and F,all but B and E,all but E,all but c,all but D and E,all but D ,only B and F,only F,all but F,all but C and D,only B and E,all but B and D
Cbp20,x,,,x,x,74.23,78.57,0,yes,73.01,77.27,0,yes,75,77.92,0,yes,90.32,90.91,50,yes,84.42,84.42,50,yes,100,100,100,yes,98.05,98.05,100,yes,94.81,94.81,100,yes,95.45,95.45,100,yes,95.45,95.45,100,yes,94.81,94.81,100,yes,95.45,95.45,100,yes,95.45,95.45,100,yes,100,100,100,yes,,,all but C and D,,,,,,,,,,,,,,
SmD3,x,x,x,x,x,81.51,78.81,0,yes,83.22,78.81,0,yes,80,82.12,0,yes,97.28,94.7,0,no,97.96,95.36,0,no ,100,100,100,yes,100,100,100,yes,90.67,90.07,50,yes,98.68,98.68,100,yes,90.07,90.07,100,yes,98,97.35,100,yes,90.07,90.07,75,yes,90.07,90.07,100,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
Prosalpha7,x,x,x,x,x,64.82,64.82,0,yes,64.82,64.82,0,yes,62,61.26,0,yes,71.94,71.94,25,yes,73.12,73.12,50,yes,94.86,94.86,100,yes,90.51,90.51,100,yes,82.28,82.61,100,yes,87.35,87.35,100,yes,77.47,77.47,100,yes,76.95,77.87,100,yes,76.98,76.68,100,yes,79.84,79.84,100,yes,94.86,94.86,100,yes,,,,,,,,,,,,,,,,,
Orc4,x,x,x,x,x,55.31,55.56,25,yes,56.86,56.86,0,yes,61,61,25,yes,70.96,70.81,0,no,67.03,66.88,0,no ,95.64,95.64,100,yes,91.29,91.29,100,yes,76.97,76.47,100,yes,74.78,75.6,75,yes,75.44,74.95,100,yes,74.45,74.29,100,yes,76.32,75.82,100,yes,76.32,75.82,100,yes,95.42,95.42,100,yes,,,,,,,,,,,,,,,,,
slmb,x,x,x,x,x,73.91,68.34,25,no,71.94,70.85,25,no,81.49,64.15,0,no,90.73,78.73,25,yes,90.65,79.56,0,no ,99.16,99.16,100,yes,97.89,15.58,50,no,90,88.94,75,yes,91.37,93.97,100,yes,97.25,83.08,50,yes,98.63,84.59,50,yes,92.76,87.94,50,yes,91.94,87.94,50,yes,99.61,85.09,100,yes,,,,,,,,,,,,,,,,,
mip130,x,x,x,x,x,31.13,18.66,0,no,33.56,19.68,0,no,36.77,23.53,25,no,45.48,32.15,50,yes,44.8,31.03,100,yes,84.17,83.06,100,yes,75.03,72.52,100,yes,55.64,54.06,100,yes,58.17,58.52,100,yes,49.53,48.17,75,yes,56.42,53.96,100,yes,49.27,51.22,50,yes,47.89,45.94,75,yes,92.11,61.56,100,yes,,,,,,,,,,,,,,,,,
zpg,x,x,,x,x,original,,,,59.84,63.87,50,yes,51.39,54.2,0,yes,,,,,,,,,19.25,17.23,0,no ,19.81,17.65,0,no,19.23,16.81,0,no,20.19,17.65,0,no,18.84,16.39,0,no,19.05,16.81,0,no,20.87,18.07,0,no,21.46,18.49,0,no,,,,,,,all but D,,,,,,,,,,,,,,
ial,x,x,x,x,x,64.9,59.57,0,yes,65.22,59.27,0,yes,66.45,59.27,0,yes,36.97,71.12,0,no,71.6,70.52,0,no,100,100,100,yes,98.18,98.18,100,yes,88.45,88.45,100,yes,89.06,89.06,100,yes,79.76,80.24,0,no,81.87,82.37,100,yes,80.66,81.16,0,no,68.44,78.42,0,no,100,100,100,yes,,,,,,,,,,,,,,,,,
chico,x,,,x,,,,,,9.35,22,0,no,21.14,6.51,0,no,51.87,10.02,0,no,,,,,86.25,92.05,100,yes,84.12,84.3,100,yes,,,,,66.49,64.57,100,yes,43.88,44.83,0,no,,,,,45.54,43.8,0,no,42.21,40.6,25,no,92.12,91.74,100,yes,,,only B and E,,,,,,,,,,,,,,
WASp,x,x,x,x,x,39.54,39.09,0,yes,48.35,8.35,0,no,,,,,60.22,63.19,0,no,61.42,62.24,0,no ,97.91,97.91,100,yes,96.79,97.15,100,yes,76.05,78.94,50,yes,82.56,84.44,75,yes,,,,,,,,,,,,,65.42,69.64,75,yes,97.72,97.72,100,yes,,,,,,,,,,,,,,,,,
Mcm3,x,x,x,x,x,73.24,73.5,0,yes,73.5,73.5,0,yes,73.21,73.75,0,yes,86.51,87.67,0,no,85.82,86.45,0,no ,98.54,98.9,100,yes,96.22,96.46,100,yes,88.38,89.13,50,yes,92.9,92.67,100,yes,93.21,43.59,0,no,86.56,87.18,50,yes,87,88.28,50,yes,87.88,88.52,100,yes,93.78,93.89,100,yes,,,,,,,,,,,,,,,,,
EfTuM,x,x,x,x,x,77.35,18.65,0,no,77.68,18.65,0,no,56.4,6.13,0,no,41.45,31.12,75,yes,81.15,20.4,50,no ,79.35,19.99,50,no ,79.35,19.99,50,no,78.28,19.68,50,no,78.73,19.84,50,no,78.73,19.84,0,no,79.3,19.94,50,no,78.85,19.78,0,no,78.48,19.73,0,no,,,,,,,,,,,,,,,,,,,,,
RpL10,x,x,x,x,x,84.47,84.47,n/a,yes,85.84,85.84,n/a,yes,83.03,82.65,n/a,yes,88.07,87.67,n/a,yes,87.61,87.21,n/a,yes,88.07,87.67,n/a,yes,88.07,87.67,n/a,yes,88.53,88.13,n/a,yes,87.61,87.21,n/a,yes,87.61,87.21,n/a,yes,87.16,87.76,n/a,yes,87.61,87.21,n/a,yes,86.7,86.3,n/a,yes,88.07,87.67,n/a,yes,,,,,,,,,,,,,,,,,
CycT,x,x,x,x,x,23.38,30.99,0,no,22.47,30.72,0,no,25.93,27.99,0,no,31.74,36.37,25,yes,31.92,37.1,25,yes,91.7,91.7,100,yes,87.72,87.88,100,yes,65.7,68.09,75,yes,67.78,70.37,100,yes,54.09,57.25,100,yes,56.57,61.99,50,yes,59.63,62.08,100,yes,57.28,59.89,100,yes,96.07,95.72,100,yes,,,,,,,,,,,,,,,,,
Bub3,x,x,x,x,x,63.3,63.5,0,yes,64.22,64.42,0,yes,66.06,66.26,0,yes,81.46,82.21,0,no,80.3,81.29,0,no ,99.39,99.39,100,yes,98.77,98.77,100,yes,94.79,94.79,100,yes,96.01,96.01,100,yes,90.18,90.18,100,yes,91.72,91.72,100,yes,91.1,91.1,100,yes,90.18,90.18,100,yes,99.39,99.39,100,yes,,,,,,,,,,,,,,,,,
skpA,x,x,x,x,x,85.8,85.8,0,no,85.8,85.8,0,no,86.42,86.42,0,no,89.51,89.51,50,yes,90.12,90.12,50,yes,100,100,100,yes,98.77,98.77,100,yes,99.09,67.28,0,no,97.55,98.15,25,no,95.68,95.68,0,no,98.15,98.15,75,yes,96.3,96.3,0,no,95.68,95.68,0,no,100,100,100,yes,,,,,,,,,,,,,,,,,
CycK,x,x,x,x,x,,,,,60.96,57,0,yes,60.32,57,0,yes,52.97,62.5,0,no,51.73,63.5,25,yes,96.75,96.75,100,yes,75.62,76,75,yes,71.16,75.25,25,no,71.39,71.75,25,no,64.06,69.5,50,yes,66.98,70.5,50,yes,,,,,,,,,98.25,98.25,100,,,,,,,,,,,,,,,,,,
beta'Cop,,,,x,x,57.63,42.56,0,yes,73,75.04,0,yes,62.43,36,0,yes,84.3,85.78,25,yes,85.48,86.32,25,yes,98.47,98.47,100,yes,97.7,97.7,100,yes,90.82,90.92,100,yes,92.26,92.56,100,yes,91.29,91.79,100,yes,62.78,21.23,0,no,,,,,,,,,98.47,98.47,100,yes,,,only E and F,,,,,,,,,,,,,,
Mcm6,x,x,x,x,x,76.69,76.5,0,yes,76.9,76.62,0,yes,77.21,77.11,0,yes,85.59,86.54,0,no,86.03,86.66,0,no ,99.14,99.14,100,yes,97.43,97.43,100,yes,92.64,92.41,100,yes,94.15,94.49,50,yes,92.2,92.53,100,yes,91.6,92.04,50,yes,92.23,93.02,100,yes,92.43,92.66,100,yes,95.9,95.9,100,yes,,,,,,,,,,,,,,,,,
IntS8,,,,x,x,43,43,50,yes,42.57,42.11,50,yes,,,,,60.32,60.68,50,yes,59.82,59.88,50,yes,98.51,98.51,100,yes,95.83,95.83,100,yes,79.92,79.05,100,yes,85.37,84.61,100,yes,78.41,78.25,75,yes,75.87,75.57,100,yes,79.32,79.25,100,yes,78.97,79.05,50,yes,98.51,98.51,100,yes,,,only E and F,,,,,,,,,,,,,,
Fen1,x,,,x,x,71.43,71.43,25,yes,72.32,71.95,25,yes,,,,,55.96,75.58,50,yes,76.3,76.1,50,yes,98.96,98.96,100,yes,96.9,97.4,100,yes,95.08,95.32,100,yes,93.3,94.03,100,yes,86.6,87.27,75,yes,91.24,91.95,100,yes,89.9,90.13,100,yes,87.89,88.57,50,yes,97.92,97.92,100,yes,,,all but C and D,,,,,,,,,,,,,,
UBL3,,x,,x,x,,,,,83.61,29.39,0,yes,,,,,32.9,43.52,0,no,90.67,19.6,0,no ,97.13,97.69,100,yes,88.89,87.61,100,yes,,,,,,,,,46.37,38.62,0,no,44.12,43.23,0,no,,,,,40.23,29.68,0,no,96.29,97.12,100,yes,,,all but B and D,,,,,,,,,,,,,,
nop5,x,x,x,x,x,65.1,70.45,0,yes,68.88,71.04,0,yes,69.57,76.52,0,yes,84.97,86.3,25,yes,82.54,85.13,25,yes,94.51,94.32,100,yes,94.11,93.74,75,yes,90.14,91.19,100,yes,93.16,93.35,100,yes,92.19,92.37,75,yes,87.98,88.85,50,yes,87.84,89.04,100,yes,88.27,89.82,100,yes,95.68,95.3,75,yes,,,,,,,,,,,,,,,,,
bam,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,84.16,84.16,100,yes,74.89,74.89,100,yes,43.35,42.76,100,yes,42.79,42.99,100,yes,37.79,36.43,50,yes,41.16,38.46,50,yes,38.58,38.24,50,yes,36.62,35.29,50,yes,85.94,85.75,100,yes,,,,,,,,,,,,,,,,,
eIF-1A,x,x,x,,,89.19,89.19,0,yes,89.19,89.19,0,yes,88.59,89.19,0,yes,97.3,97.3,25,yes,97.97,97.3,25,yes,100,100,100,yes,100,100,100,yes,100,100,75,yes,100,100,100,yes,100,100,50,yes,100,100,100,yes,100,100,50,yes,100,100,50,yes,100,100,100,yes,,,all but E and F,,,,,,,,,,,,,,
msk,x,x,x,x,x,64.34,50.91,0,no,60.74,29.65,0,no,67.95,67.49,0,no,84.88,85.61,0,no,83.59,83.51,0,no ,99.52,99.52,100,yes,99.24,99.24,100,yes,95.04,95.04,100,yes,95.81,95.81,100,yes,94.09,94.09,100,yes,91.91,92.09,50,yes,95.04,95.04,100,yes,95.04,95.04,100,yes,99.43,99.43,100,yes,,,,,,,,,,,,,,,,,
RpII33,x,x,,,x,85.71,85.09,0,yes,85.71,85.09,0,yes,,,,,,,,,94.55,94.55,25,yes,99.64,99.64,100,yes,99.64,99.64,100,yes,97.09,97.09,100,yes,99.27,99.27,75,yes,98.55,98.55,100,yes,97.82,97.82,50,yes,98.55,98.55,100,yes,98.55,98.55,100,yes,99.27,99.27,100,yes,,,all but D and E,,,,,,,,,,,,,,
Nipped-B,x,x,x,x,x,43.62,46.7,0,no,40.85,47.28,0,no,47.89,3.27,0,no,65.65,17.67,0,no,73.55,8.57,0,no ,97.05,63.66,50,yes,91.88,92.01,0,no,76.01,26.24,0,no,72.35,71.55,0,no,68.23,70.73,0,no,78.14,35.63,0,no,69.24,70.78,0,no,68.91,69.14,0,no,97.45,97.5,25,no,,,,,,,,,,,,,,,,,
Su(var)2-HP2,,,,x,x,,,,,,,,,,,,,,,,,,,,,83.84,86.8,100,yes,70.79,70.56,100,yes,29.89,30.89,100,yes,36.7,36.38,100,yes,24.63,20.91,50,no,29.92,23.21,50,no,25.31,23.92,50,no,25.8,21.61,50,no,86.73,82.47,100,yes,,,only E and F,,,,,,,,,,,,,,
CSN5,x,x,x,x,x,79.88,82.57,0,yes,77.65,80.73,0,yes,65.26,85.02,0,yes,87.43,89.3,50,yes,87.43,89.3,50,yes,91.6,100,100,yes,91.32,99.69,100,yes,99.08,99.08,100,yes,98.78,98.78,100,yes,98.17,98.17,50,yes,99.39,99.39,100,yes,97.55,97.55,50,yes,97.86,97.86,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
CSN3,x,x,x,x,x,60.05,58.43,25,yes,56.25,54.61,25,yes,60.28,58.65,0,yes,66.21,65.62,50,yes,66.89,66.29,50,yes,99.33,99.33,100,yes,98.2,98.2,100,yes,87.22,87.42,75,yes,91.01,91.01,100,yes,85.56,86.52,100,yes,87.22,87.42,100,yes,87.67,87.67,100,yes,87.67,87.87,100,yes,99.55,99.55,100,yes,,,,,,,,,,,,,,,,,
CSN1b,x,x,x,x,x,71.8,63.05,25,no,69.96,64.76,0,no,63.71,28.76,25,mo,75.49,72.76,0,no,75.8,72.19,0,no ,99.43,99.43,100,yes,98.48,98.48,100,yes,92.5,91.62,100,yes,95.23,95.05,100,yes,86.78,88.76,50,yes,89.16,89.33,100,yes,88.47,89.14,100,yes,89.92,90.1,100,yes,99.43,99.43,100,yes,,,,,,,,,,,,,,,,,
wde,x,x,x,x,x,,,,,17.18,15.7,75,no,22.21,15.7,50,no,21.67,20.28,0,no,20.95,20.77,0,no ,85.88,85.21,100,yes,50.91,51.27,75,yes,28.49,26.76,100,yes,,,,,42.47,13.31,100,no,30.99,25.77,50,yes,29.38,27.75,100,yes,,,,,82.91,80.63,100,yes,,,,,,,,,,,,,,,,,
Nup93-1,x,x,x,x,x,43.5,43.13,0,yes,43.68,43.26,0,yes,43.56,43.13,0,yes,48.95,48.12,25,yes,48.7,47.87,25,yes,85.89,85.78,100,yes,74.88,74.97,100,yes,58.82,59.17,100,yes,62.74,62.82,75,yes,55.15,56.62,75,yes,62.02,62.7,25,no,58.59,60.51,75,yes,55.58,56.87,75,yes,86.01,85.91,100,yes,,,,,,,,,,,,,,,,,
CG7028,,,,x,x,46.23,51.1,0,no,46.85,51.32,0,no,46.57,47.59,0,no,51.92,57.89,0,no,54.67,58.44,0,no ,98.57,98.14,100,yes,92.2,92,100,yes,73.71,73.46,100,yes,74.22,76.1,75,yes,59.9,66.01,75,yes,63.39,63.6,75,yes,69.59,71.27,75,yes,65.13,66.56,75,yes,98.57,98.14,100,yes,,,only E and F,,,,,,,,,,,,,,
SMC2,x,x,x,x,x,52.57,53.01,0,no,53.08,53.44,0,no,54.92,54.88,25,no,59.14,59.29,0,no,63.04,62.93,50,yes,97.88,97.79,100,yes,96.18,96.18,100,yes,80.27,80.41,50,yes,,,,,76.53,76.34,50,yes,78.81,78.88,50,yes,78.08,77.95,50,yes,77.99,77.86,50,yes,98.22,98.22,100,yes,,,,,,,,,,,,,,,,,
ball,x,x,x,x,x,33.64,30.88,0,yes,30.2,33.22,0,yes,39.53,39.07,0,yes,45.18,47.75,100,yes,44.22,47.25,100,yes,87.56,88.15,100,yes,83.64,84.47,100,yes,60.69,61.6,100,yes,66.17,66.61,100,yes,57.38,57.1,0,no,6.21,59.27,100,yes,56.94,58.93,50,yes,57.64,5.93,50,yes,89.55,90.15,100,yes,,,,,,,,,,,,,,,,,
ns3,x,x,x,x,x,59.58,61.06,0,yes,60.23,61.22,0,yes,61.46,37.62,0,yes,66.82,70.79,0,no,68.64,72.61,0,no ,97.03,97.19,100,yes,,,,,86.21,85.64,75,yes,77.45,87.29,75,yes,83.8,84.49,25,no,83.77,84.32,0,no,84.12,84.82,25,no,84.5,85.48,25,no,97.53,97.69,100,yes,,,,,,,,,,,,,,,,,
Nxt1,x,x,x,x,x,46.43,48.87,25,yes,48.57,51.13,0,yes,49.32,54.14,0,yes,57.45,60.9,25,yes,58.27,60.9,25,yes,94.74,94.74,100,yes,86.47,86.47,100,yes,72.59,73.68,75,yes,74.07,75.19,100,yes,64.93,65.41,0,no,66.67,67.67,0,no,58.7,60.9,0,no,,,,,94.74,94.74,100,yes,,,,,,,,,,,,,,,,,
sec71,x,x,x,x,x,69.02,76.29,0,yes,68.14,76.47,0,yes,59.04,73.68,0,yes,77.83,82.4,0,no,78.48,84.94,0,no ,99.64,99.64,100,yes,98.73,98.73,100,yes,94.84,94.49,100,yes,94.87,95.04,75,yes,87.48,90.44,100,yes,90.37,91.41,25,no,87.16,90.38,100,yes,87.43,90.44,100,yes,99.46,99.46,100,yes,,,,,,,,,,,,,,,,,
Iik,,,,x,x,,,,,,,,,,,,,61,60.7,n/a,no,59.25,58.96,n/a,no ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only E and F,,,,,,,,,,,,,,
pUf68,x,x,x,x,x,63.21,64.21,0,yes,63.02,64.21,0,yes,61.72,64.05,0,yes,67.01,71.43,0,no,74.84,73.78,0,no,99.53,99.53,100,yes,98.9,98.9,100,yes,89.43,91.68,50,yes,91.6,92.46,75,yes,86.78,87.6,75,yes,87.88,89.95,75,yes,87.97,87.28,75,yes,86.07,86.34,75,yes,99.68,99.06,100,yes,,,,,,,,,,,,,,,,,
spt4,x,x,x,x,x,72.41,72.41,0,yes,76.72,76.72,0,yes,75.86,75.86,0,yes,81.9,81.9,0,no,82.76,82.76,50,yes,99.14,99.14,75,yes,99.14,99.14,100,yes,96.55,96.55,50,yes,93.97,93.97,100,yes,93.97,93.97,100,yes,96.55,96.55,50,yes,95.69,95.69,100,yes,94.83,94.83,100,yes,99.14,99.14,100,yes,,,,,,,,,,,,,,,,,
Rpn7,x,x,x,x,x,80.98,80.98,0,yes,81.75,81.75,25,yes,80.21,80.21,0,yes,87.92,87.92,50,yes,88.43,88.43,75,yes,100,100,100,yes,98.46,98.46,100,yes,96.4,96.4,100,yes,96.4,96.4,50,yes,91.77,91.77,100,yes,94.34,94.34,100,yes,93.57,93.57,100,yes,93.07,93.06,100,yes,99.74,99.74,100,yes,,,,,,,,,,,,,,,,,
Rpn6,x,x,x,x,x,85.1,80.64,0,yes,84.38,79.95,0,yes,83.97,79.95,0,yes,92.64,88.84,50,yes,91.92,88.15,50,yes,99.32,99.32,100,yes,98.63,98.63,100,yes,96.67,92.71,100,yes,93.5,94.99,100,yes,95.49,91.57,100,yes,91.89,92.94,100,yes,91.38,91.8,100,yes,91.36,91.57,100,yes,98.86,98.86,100,yes,,,,,,,,,,,,,,,,,
Rpn9,x,x,x,x,x,75.26,74.87,25,yes,74.21,73.82,50,yes,73.75,73.56,50,yes,81.15,81.15,100,yes,80.89,80.89,75,yes,99.74,99.74,100,yes,98.95,98.95,100,yes,92.67,92.67,50,yes,95.29,95.29,100,yes,94.24,94.24,50,yes,90.58,90.58,75,yes,93.98,93.98,50,yes,94.5,94.5,50,yes,99.74,99.74,100,yes,,,,,,,,,,,,,,,,,
Rpn12,x,x,x,x,x,59.64,59.09,0,no,58.78,58.33,0,no,60.31,59.85,0,no,69.43,96.7,0,no,69.43,69.7,0,no ,99.24,99.24,100,yes,97.35,97.35,100,yes,88.26,88.26,100,yes,94.32,94.32,100,yes,89.77,89.77,100,yes,85.61,85.61,25,no,90.15,90.15,100,yes,88.64,88.64,100,yes,98.86,98.86,100,yes,,,,,,,,,,,,,,,,,
Rpn11,x,x,x,x,x,93.89,94.81,0,no,92.93,93.83,25,no,95.16,95.78,25,no,98.05,98.05,25,yes,98.05,98.05,25,yes,100,100,100,yes,100,100,100,yes,99.68,99.68,75,yes,99.35,99.35,75,yes,99.68,99.68,75,yes,99.03,99.03,75,yes,99.68,99.68,50,yes,99.68,99.68,75,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
Rpn1,x,x,x,x,x,73.19,71.6,0,no,72.59,71.16,0,no,71.1,61.04,0,no,87.15,87.05,0,no,88.46,87.6,0,no ,99.46,99.46,100,yes,98.26,98.26,100,yes,94.55,94.45,100,yes,95.23,95.65,100,yes,91.84,93.04,50,yes,92.4,92.6,50,yes,92.79,92.38,50,yes,92.07,92.27,50,yes,99.35,99.35,100,yes,,,,,,,,,,,,,,,,,
CSN7,x,x,x,x,x,50.72,50.72,0,yes,50,50,0,yes,51.26,51.08,25,yes,61.15,61.15,100,yes,,,,,98.2,98.2,100,yes,98.56,98.56,100,yes,82.01,82.01,100,yes,92.14,92.81,100,yes,81.79,82.37,50,yes,75.09,75.9,75,yes,84.29,84.89,50,yes,82.14,82.73,75,yes,99.28,99.28,100,yes,,,,,,,,,,,,,,,,,
CSN6,x,x,x,x,x,59.02,63.34,0,yes,56.56,60.7,0,yes,59.73,64.81,0,yes,76.7,76.25,25,yes,70.19,73.9,25,yes,99.41,99.41,100,yes,96.47,96.19,100,yes,91.07,92.67,75,yes,91.57,92.38,100,yes,86.34,87.1,50,yes,88.46,87.68,50,yes,88.24,87.98,50,yes,86.18,85.92,50,yes,99.41,99.41,100,yes,,,,,,,,,,,,,,,,,
gammaCop,x,x,x,x,x,73.67,72.35,0,yes,75.26,73.58,0,yes,75.98,71.24,0,yes,88.37,86.4,0,no,88.26,86.29,0,no ,97.85,96.32,100,yes,96.26,94.76,100,yes,93.76,93.76,50,yes,94.45,92.98,50,yes,92.7,90.64,50,yes,92.94,90.97,50,yes,92.08,91.97,50,yes,91.79,89.74,50,yes,99.77,97.66,75,yes,,,,,,,,,,,,,,,,,
deltaCOP,x,x,x,x,x,69.66,68.61,0,yes,67.04,67.67,0,yes,65.84,64.85,0,yes,74.14,77.07,25,yes,77.38,76.5,25,yes,98.5,98.68,100,yes,97.18,97.18,100,yes,89.06,88.72,50,yes,92.28,92.11,100,yes,82.11,81.95,50,yes,84.2,85.15,0,no,85.21,85.53,50,yes,85.74,85.9,75,yes,98.5,98.5,100,yes,,,,,,,,,,,,,,,,,
Spt6,x,x,x,x,x,53.19,53.8,0,no,52.98,53.96,0,no,62.59,28.51,0,no,63.61,60.9,25,yes,68.54,54.62,0,no ,95.16,95.58,100,yes,85.09,86.35,100,yes,78.78,79.9,50,yes,80.53,82.25,100,yes,71.17,74.44,25,no,64.15,60.29,0,no,76.38,78.04,50,yes,74.57,77.33,50,yes,98.03,24.52,50,no,,,,,,,,,,,,,,,,,
Uba2,x,,x,x,x,57.06,54.29,0,yes,56.29,53.71,0,yes,61.49,56.57,0,yes,63.21,63.57,0,no,64.02,62.29,25,yes,94.29,94.43,100,yes,92.91,93.57,100,yes,73.31,73,100,yes,76.85,75.86,100,yes,74.12,74.86,100,yes,69.77,68.57,50,yes,76.61,76.29,50,yes,75.14,75.14,100,yes,89.3,89.43,100,yes,,,all but C ,,,,,,,,,,,,,,
Prosbeta5,x,x,x,x,x,67.6,68.79,0,yes,69.37,69.86,0,yes,71.86,67.02,0,yes,80,79.43,0,no,80.78,8050,0,no ,96.81,96.81,100,yes,original,,,,84.26,83.33,100,yes,86.97,87.59,100,yes,83.21,82.62,75,yes,85.51,85.82,50,yes,84.23,83.33,100,yes,86.02,85.11,75,yes,96.45,96.45,100,yes,,,,,,,,,,,,,,,,,
Aos1,x,x,x,x,x,55.72,54.9,0,yes,55.72,54.9,0,yes,58.26,57.57,0,yes,44.8,62.61,0,no,60.06,61.13,25,yes,97.63,97.63,100,yes,93.18,93.18,100,yes,72.65,73.29,100,yes,77.58,78.04,100,yes,74.18,74.18,0,no,72.81,73.89,100,yes,78.17,78.64,0,no,74.63,75.07,0,no,97.63,97.63,100,yes,,,,,,,,,,,,,,,,,
CG2875,x,x,x,x,x,34.92,36.82,0,yes,35.74,36.82,0,yes,37.18,38.23,0,yes,41.75,43.26,0,no,41.35,43.26,0,no ,92.15,92.15,100,yes,88.93,88.93,100,yes,52.23,51.91,100,yes,74.25,74.25,100,yes,49.72,53.52,0,no,52.26,55.73,0,no,,,,,54.76,56.74,50,yes,93.36,93.36,100,yes,,,,,,,,,,,,,,,,,
raptor,x,x,x,x,x,47.72,41.33,0,yes,49.22,40.72,0,yes,54.14,39.98,0,yes,47.43,55.27,25,yes,62.72,56.26,0,no ,95.43,95.31,100,yes,91.99,92.04,100,yes,63.64,66.07,100,yes,,,,,65.07,58.61,75,yes,68.76,62.74,100,yes,64.96,62.55,100,yes,,,,,,,,,,,,,,,,,,,,,,,,,
CG1444,x,x,x,x,x,45.97,47.98,0,no,45.59,46.73,0,no,49.84,49.53,0,no,61.25,61.06,0,no ,60,59.81,0,no ,98.13,98.13,100,yes,97.82,97.82,100,yes,87.19,86.92,100,yes,89.94,89.1,100,yes,82.19,81.93,75,yes,83.75,83.49,100,yes,84.69,84.42,75,yes,80.94,80.69,75,yes,98.13,98.13,100,yes,,,,,,,,,,,,,,,,,
Caf1-180,x,x,x,x,x,,,,,,,,,,,,,36.56,37.36,25,yes,35.5,34.83,25,yes,93.11,93.66,100,yes,85.51,86.31,100,yes,49.76,51.9,50,yes,60.44,60.69,100,yes,53.92,43.62,25,no,57.8,44.8,25,no,52.91,49.11,25,no,51.49,48.1,0,no,84.02,43.11,100,yes,,,,,,,,,,,,,,,,,
CG7033,x,x,x,x,x,81.46,81.31,0,no,82.4,82.24,0,no,84.33,47.29,25,no,89.16,89.16,25,yes,88.78,88.78,25,yes,98.5,98.5,100,yes,98.5,98.5,100,yes,94.02,94.02,50,yes,96.82,96.82,100,yes,93.27,93.27,50,yes,94.58,94.58,25,no,92.52,92.52,50,yes,92.15,92.15,25,no,98.12,97.76,100,yes,,,,,,,,,,,,,,,,,
feo,,,,,,,,,,,,,,,,,,,,,,36.24,39.05,0,no,96.44,97.02,100,yes,,,,,65.58,69,100,yes,74.5,77.94,50,yes,58.78,55.89,0,no,,,,,,,,,25.68,21.01,0,no,97.76,97.76,100,yes,,,,,,,,,,,,,,,,,
Set2,x,x,x,x,x,18.89,21.21,0,no,19.63,22.4,0,no,20.26,20.41,0,no,37.42,20.15,0,no,20.79,27.31,0,no,82.85,82.22,100,yes,66.58,67.57,100,yes,27.31,33.74,50,yes,40.74,42.08,50,yes,39.78,34.67,0,no,39.83,36.07,25,no,41.75,35.44,0,no,41.89,34.97,0,no,80.97,67.36,50,yes,,,,,,,,,,,,,,,,,
Ndc80,,x,x,x,x,,,,,,,,,,,,,26.99,27.11,0,no,27.23,27.11,0,no,96,96,100,yes,89.48,89.48,100,yes,45.32,45.19,50,yes,48.88,48.44,50,yes,37.5,37.78,50,yes,37.7,37.48,25,no,36.77,37.48,50,yes,35.18,35.7,50,yes,,,,,,,all but B,,,,,,,,,,,,,,
eIF5,,,,,,62.88,63.15,0,no,64.78,64.22,0,no,66.07,63.36,0,no,70.46,69.4,0,no,70.46,69.4,0,no,96.34,96.34,100,yes,97.19,96.98,100,yes,80.72,82.11,0,no,80,78.45,25,no,77.8,79.31,25,no,79.19,80.39,25,no,79.28,80.82,25,no,78.44,79.96,25,no,93.16,70.47,100,yes,,,,,,,,,,,,,,,,,
CG9609,x,x,x,x,x,,,,,,,,,,,,,,,,,40.79,46.15,0,no,94.79,94.79,100,yes,89.83,89.83,100,yes,67.01,64.02,50,yes,67.48,68.49,50,yes,57.32,57.32,25,no,61.82,59.06,50,yes,59.61,60.05,0,no,60.2,58.56,25,no,95.04,95.04,100,yes,,,,,,,,,,,,,,,,,
CG1812,,,,,,23.8,24.19,0,no,,,,,,,,,,,,,46.48,48.21,0,no,95.41,94.48,100,yes,91.13,91.72,100,yes,68.11,66.23,100,yes,74.84,75.81,75,yes,73.94,70.94,25,no,74.96,74.35,100,yes,74.83,71.43,25,no,74.32,70.94,25,no,96.39,95.45,100,yes,,,,,,,,,,,,,,,,,
Ntf-2,,x,x,x,x,72.31,72.31,0,yes,74.62,74.62,0,yes,74.62,74.62,0,yes,82.31,82.31,0,no,80.77,80.77,0,no,99.23,99.23,100,yes,98.46,98.46,100,yes,93.08,93.08,50,yes,98.46,98.46,100,yes,94.62,94.62,50,yes,96.12,95.38,50,yes,96.15,96.15,50,yes,95.38,95.38,50,yes,97.69,97.69,100,yes,,,all but B,,,,,,,,,,,,,,
